V1,V2,V3,V4,V5,V6,V7,V8
"sn82016246","The Arizona champion.","A.E. Fay","Peach Springs, Mohave County, A.T. [Ariz.]","Arizona--Coconino--Flagstaff|Arizona--Mohave--Peach Springs","1883","1891","http://chroniclingamerica.loc.gov/lccn/sn82016246.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn96060547","Mohave County miner and our mineral wealth.","W.G. Damon","Kingman, Ariz.","Arizona--Mohave--Kingman","1918","1922","http://chroniclingamerica.loc.gov/lccn/sn96060547.json"
"sn82014067","The weekly Arizonian.","W. Wrightson","Tubac, Ariz.","Arizona--Pima--Tucson|Arizona--Santa Cruz--Tubac","1859","18??","http://chroniclingamerica.loc.gov/lccn/sn82014067.json"
"sn96060547","Mohave County miner and our mineral wealth.","W.G. Damon","Kingman, Ariz.","Arizona--Mohave--Kingman","1918","1922","http://chroniclingamerica.loc.gov/lccn/sn96060547.json"
"sn82014896","Arizona citizen.","J. Wasson","Tucson, Pima County, A.T. [i.e. Ariz.]","Arizona--Pima--Tucson|Arizona--Pinal--Florence","1870","1880","http://chroniclingamerica.loc.gov/lccn/sn82014896.json"
"sn82014067","The weekly Arizonian.","W. Wrightson","Tubac, Ariz.","Arizona--Pima--Tucson|Arizona--Santa Cruz--Tubac","1859","18??","http://chroniclingamerica.loc.gov/lccn/sn82014067.json"
"sn82015133","Arizona weekly citizen.","Citizen Print. & Pub. Co.","Tucson, Ariz","Arizona--Pima--Tucson","1880","1901","http://chroniclingamerica.loc.gov/lccn/sn82015133.json"
"sn82014896","Arizona citizen.","J. Wasson","Tucson, Pima County, A.T. [i.e. Ariz.]","Arizona--Pima--Tucson|Arizona--Pinal--Florence","1870","1880","http://chroniclingamerica.loc.gov/lccn/sn82014896.json"
"sn82016240","Weekly Arizona citizen.","R.C. Brown","Tucson, Ariz.","Arizona--Pima--Tucson","1880","1880","http://chroniclingamerica.loc.gov/lccn/sn82016240.json"
"sn82015133","Arizona weekly citizen.","Citizen Print. & Pub. Co.","Tucson, Ariz","Arizona--Pima--Tucson","1880","1901","http://chroniclingamerica.loc.gov/lccn/sn82015133.json"
"sn82016240","Weekly Arizona citizen.","R.C. Brown","Tucson, Ariz.","Arizona--Pima--Tucson","1880","1880","http://chroniclingamerica.loc.gov/lccn/sn82016240.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn85032920","Weekly Arizona journal-miner.","Journal-Miner Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1903","1908","http://chroniclingamerica.loc.gov/lccn/sn85032920.json"
"sn85032920","Weekly Arizona journal-miner.","Journal-Miner Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1903","1908","http://chroniclingamerica.loc.gov/lccn/sn85032920.json"
"sn85032923","Weekly journal-miner.","Journal-Miner Pub. Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1908","1929","http://chroniclingamerica.loc.gov/lccn/sn85032923.json"
"sn85032923","Weekly journal-miner.","Journal-Miner Pub. Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1908","1929","http://chroniclingamerica.loc.gov/lccn/sn85032923.json"
"sn85032938","Arizona weekly journal-miner.","Arizona Pub. Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1885","1903","http://chroniclingamerica.loc.gov/lccn/sn85032938.json"
"sn85032938","Arizona weekly journal-miner.","Arizona Pub. Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1885","1903","http://chroniclingamerica.loc.gov/lccn/sn85032938.json"
"sn85032933","The oasis.","Oasis Pub. Co.","Arizola, Ariz.","Arizona--Cochise--Benson|Arizona--Pinal--Arizola|Arizona--Santa Cruz--Nogales","1893","1920","http://chroniclingamerica.loc.gov/lccn/sn85032933.json"
"sn85032933","The oasis.","Oasis Pub. Co.","Arizola, Ariz.","Arizona--Cochise--Benson|Arizona--Pinal--Arizola|Arizona--Santa Cruz--Nogales","1893","1920","http://chroniclingamerica.loc.gov/lccn/sn85032933.json"
"sn96060796","The border vidette.","Vidette Pub. Co.","Nogales, Ariz.","Arizona--Santa Cruz--Nogales","1894","1934","http://chroniclingamerica.loc.gov/lccn/sn96060796.json"
"sn96060796","The border vidette.","Vidette Pub. Co.","Nogales, Ariz.","Arizona--Santa Cruz--Nogales","1894","1934","http://chroniclingamerica.loc.gov/lccn/sn96060796.json"
"sn87062081","Salt River herald.","Phoenix Pub. Co.","Phoenix, Salt River Valley, Maricopa County, A.T. [Ariz.]","Arizona--Maricopa--Phoenix","1878","1879","http://chroniclingamerica.loc.gov/lccn/sn87062081.json"
"sn87062081","Salt River herald.","Phoenix Pub. Co.","Phoenix, Salt River Valley, Maricopa County, A.T. [Ariz.]","Arizona--Maricopa--Phoenix","1878","1879","http://chroniclingamerica.loc.gov/lccn/sn87062081.json"
"sn82014067","The weekly Arizonian.","W. Wrightson","Tubac, Ariz.","Arizona--Pima--Tucson|Arizona--Santa Cruz--Tubac","1859","18??","http://chroniclingamerica.loc.gov/lccn/sn82014067.json"
"sn82014067","The weekly Arizonian.","W. Wrightson","Tubac, Ariz.","Arizona--Pima--Tucson|Arizona--Santa Cruz--Tubac","1859","18??","http://chroniclingamerica.loc.gov/lccn/sn82014067.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn84024829","The Weekly Arizonian.","Tucson Pub. Co.","Tucson, A.T. [Ariz.]","Arizona--Pima--Tucson","1868","1871","http://chroniclingamerica.loc.gov/lccn/sn84024829.json"
"sn84024829","The Weekly Arizonian.","Tucson Pub. Co.","Tucson, A.T. [Ariz.]","Arizona--Pima--Tucson","1868","1871","http://chroniclingamerica.loc.gov/lccn/sn84024829.json"
"sn82016246","The Arizona champion.","A.E. Fay","Peach Springs, Mohave County, A.T. [Ariz.]","Arizona--Coconino--Flagstaff|Arizona--Mohave--Peach Springs","1883","1891","http://chroniclingamerica.loc.gov/lccn/sn82016246.json"
"sn82016246","The Arizona champion.","A.E. Fay","Peach Springs, Mohave County, A.T. [Ariz.]","Arizona--Coconino--Flagstaff|Arizona--Mohave--Peach Springs","1883","1891","http://chroniclingamerica.loc.gov/lccn/sn82016246.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn95060914","Graham guardian.","Guardian Pub. Co.","Safford, Ariz.","Arizona--Graham--Safford","1895","1923","http://chroniclingamerica.loc.gov/lccn/sn95060914.json"
"sn95060914","Graham guardian.","Guardian Pub. Co.","Safford, Ariz.","Arizona--Graham--Safford","1895","1923","http://chroniclingamerica.loc.gov/lccn/sn95060914.json"
"sn96060547","Mohave County miner and our mineral wealth.","W.G. Damon","Kingman, Ariz.","Arizona--Mohave--Kingman","1918","1922","http://chroniclingamerica.loc.gov/lccn/sn96060547.json"
"sn96060547","Mohave County miner and our mineral wealth.","W.G. Damon","Kingman, Ariz.","Arizona--Mohave--Kingman","1918","1922","http://chroniclingamerica.loc.gov/lccn/sn96060547.json"
"sn82016246","The Arizona champion.","A.E. Fay","Peach Springs, Mohave County, A.T. [Ariz.]","Arizona--Coconino--Flagstaff|Arizona--Mohave--Peach Springs","1883","1891","http://chroniclingamerica.loc.gov/lccn/sn82016246.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn82016246","The Arizona champion.","A.E. Fay","Peach Springs, Mohave County, A.T. [Ariz.]","Arizona--Coconino--Flagstaff|Arizona--Mohave--Peach Springs","1883","1891","http://chroniclingamerica.loc.gov/lccn/sn82016246.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn85032923","Weekly journal-miner.","Journal-Miner Pub. Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1908","1929","http://chroniclingamerica.loc.gov/lccn/sn85032923.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn94052361","The Daily Tombstone.","James J. Nash","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1885","1886","http://chroniclingamerica.loc.gov/lccn/sn94052361.json"
"sn85032923","Weekly journal-miner.","Journal-Miner Pub. Co.","Prescott, Ariz.","Arizona--Yavapai--Prescott","1908","1929","http://chroniclingamerica.loc.gov/lccn/sn85032923.json"
"sn94052361","The Daily Tombstone.","James J. Nash","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1885","1886","http://chroniclingamerica.loc.gov/lccn/sn94052361.json"
"sn95060905","Tombstone epitaph.","Reppy & Peck","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","current","http://chroniclingamerica.loc.gov/lccn/sn95060905.json"
"sn95060905","Tombstone epitaph.","Reppy & Peck","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","current","http://chroniclingamerica.loc.gov/lccn/sn95060905.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn94052361","The Daily Tombstone.","James J. Nash","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1885","1886","http://chroniclingamerica.loc.gov/lccn/sn94052361.json"
"sn94052361","The Daily Tombstone.","James J. Nash","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1885","1886","http://chroniclingamerica.loc.gov/lccn/sn94052361.json"
"sn95060900","The Arizona kicker. [volume]","S.C. Bagg","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1893","1913","http://chroniclingamerica.loc.gov/lccn/sn95060900.json"
"sn95060900","The Arizona kicker. [volume]","S.C. Bagg","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1893","1913","http://chroniclingamerica.loc.gov/lccn/sn95060900.json"
"sn95060902","Tombstone daily prospector.","Nash & Tilden","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","1891","http://chroniclingamerica.loc.gov/lccn/sn95060902.json"
"sn95060902","Tombstone daily prospector.","Nash & Tilden","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","1891","http://chroniclingamerica.loc.gov/lccn/sn95060902.json"
"sn95060903","Tombstone prospector.","S.C. Bagg","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1891","1914","http://chroniclingamerica.loc.gov/lccn/sn95060903.json"
"sn95060903","Tombstone prospector.","S.C. Bagg","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1891","1914","http://chroniclingamerica.loc.gov/lccn/sn95060903.json"
"sn95060905","Tombstone epitaph.","Reppy & Peck","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","current","http://chroniclingamerica.loc.gov/lccn/sn95060905.json"
"sn95060905","Tombstone epitaph.","Reppy & Peck","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","current","http://chroniclingamerica.loc.gov/lccn/sn95060905.json"
"sn96060681","Tombstone daily epitaph.","J.O. Dunbar","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","1890","http://chroniclingamerica.loc.gov/lccn/sn96060681.json"
"sn96060681","Tombstone daily epitaph.","J.O. Dunbar","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","1890","http://chroniclingamerica.loc.gov/lccn/sn96060681.json"
"sn96060682","Daily Tombstone epitaph.","Record Epitaph Pub. Co.","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1885","1887","http://chroniclingamerica.loc.gov/lccn/sn96060682.json"
"sn96060682","Daily Tombstone epitaph.","Record Epitaph Pub. Co.","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1885","1887","http://chroniclingamerica.loc.gov/lccn/sn96060682.json"
"sn96060683","The Tombstone.","James J. Nash","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1882","1885","http://chroniclingamerica.loc.gov/lccn/sn96060683.json"
"sn96060683","The Tombstone.","James J. Nash","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1882","1885","http://chroniclingamerica.loc.gov/lccn/sn96060683.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn84024827","Bisbee daily review.","W.B. Kelly","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1901","1971","http://chroniclingamerica.loc.gov/lccn/sn84024827.json"
"sn95060905","Tombstone epitaph.","Reppy & Peck","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","current","http://chroniclingamerica.loc.gov/lccn/sn95060905.json"
"sn95060905","Tombstone epitaph.","Reppy & Peck","Tombstone, Ariz.","Arizona--Cochise--Tombstone","1887","current","http://chroniclingamerica.loc.gov/lccn/sn95060905.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn84024828","Mohave County miner.","A.H. Smith & Co.","Mineral Park, A.T. [Ariz.]","Arizona--Mohave--Mineral Park","1882","1918","http://chroniclingamerica.loc.gov/lccn/sn84024828.json"
"sn94051692","The St. Johns herald.","H.Reed","St. Johns, Apache County, Arizona Territory [Ariz.]","Arizona--Apache--Saint Johns","1885","1903","http://chroniclingamerica.loc.gov/lccn/sn94051692.json"
"sn94051692","The St. Johns herald.","H.Reed","St. Johns, Apache County, Arizona Territory [Ariz.]","Arizona--Apache--Saint Johns","1885","1903","http://chroniclingamerica.loc.gov/lccn/sn94051692.json"
"sn95060580","Snips.","Snips Pub. Co.","St. Johns, Ariz.","Arizona--Apache--Saint Johns","1901","1903","http://chroniclingamerica.loc.gov/lccn/sn95060580.json"
"sn95060580","Snips.","Snips Pub. Co.","St. Johns, Ariz.","Arizona--Apache--Saint Johns","1901","1903","http://chroniclingamerica.loc.gov/lccn/sn95060580.json"
"sn95060581","Snips and the St. Johns herald.","E.S. Perkins","St. Johns, Ariz.","Arizona--Apache--Saint Johns","1903","1905","http://chroniclingamerica.loc.gov/lccn/sn95060581.json"
"sn95060581","Snips and the St. Johns herald.","E.S. Perkins","St. Johns, Ariz.","Arizona--Apache--Saint Johns","1903","1905","http://chroniclingamerica.loc.gov/lccn/sn95060581.json"
"sn95060582","St. Johns herald and Apache news. [volume]","R. Ling","St. Johns, Apache Co., Ariz.","Arizona--Apache--Saint Johns","1905","1917","http://chroniclingamerica.loc.gov/lccn/sn95060582.json"
"sn95060582","St. Johns herald and Apache news. [volume]","R. Ling","St. Johns, Apache Co., Ariz.","Arizona--Apache--Saint Johns","1905","1917","http://chroniclingamerica.loc.gov/lccn/sn95060582.json"
"sn95060583","The St. Johns herald.","Waite Bros.","St. Johns, Apache County, Ariz.","Arizona--Apache--Saint Johns","1917","1938","http://chroniclingamerica.loc.gov/lccn/sn95060583.json"
"sn95060583","The St. Johns herald.","Waite Bros.","St. Johns, Apache County, Ariz.","Arizona--Apache--Saint Johns","1917","1938","http://chroniclingamerica.loc.gov/lccn/sn95060583.json"
"sn82015761","The Williams news.","G.V. Young","Williams, Ariz.","Arizona--Coconino--Williams","1891","1989","http://chroniclingamerica.loc.gov/lccn/sn82015761.json"
"sn82015761","The Williams news.","G.V. Young","Williams, Ariz.","Arizona--Coconino--Williams","1891","1989","http://chroniclingamerica.loc.gov/lccn/sn82015761.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn85032933","The oasis.","Oasis Pub. Co.","Arizola, Ariz.","Arizona--Cochise--Benson|Arizona--Pinal--Arizola|Arizona--Santa Cruz--Nogales","1893","1920","http://chroniclingamerica.loc.gov/lccn/sn85032933.json"
"sn85032933","The oasis.","Oasis Pub. Co.","Arizola, Ariz.","Arizona--Cochise--Benson|Arizona--Pinal--Arizola|Arizona--Santa Cruz--Nogales","1893","1920","http://chroniclingamerica.loc.gov/lccn/sn85032933.json"
"sn82015761","The Williams news.","G.V. Young","Williams, Ariz.","Arizona--Coconino--Williams","1891","1989","http://chroniclingamerica.loc.gov/lccn/sn82015761.json"
"sn82015761","The Williams news.","G.V. Young","Williams, Ariz.","Arizona--Coconino--Williams","1891","1989","http://chroniclingamerica.loc.gov/lccn/sn82015761.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn84020558","Arizona republican.","Republican Pub. Co.","Phoenix, Ariz.","Arizona--Maricopa--Phoenix","1890","1930","http://chroniclingamerica.loc.gov/lccn/sn84020558.json"
"sn85032933","The oasis.","Oasis Pub. Co.","Arizola, Ariz.","Arizona--Cochise--Benson|Arizona--Pinal--Arizola|Arizona--Santa Cruz--Nogales","1893","1920","http://chroniclingamerica.loc.gov/lccn/sn85032933.json"
"sn85032933","The oasis.","Oasis Pub. Co.","Arizola, Ariz.","Arizona--Cochise--Benson|Arizona--Pinal--Arizola|Arizona--Santa Cruz--Nogales","1893","1920","http://chroniclingamerica.loc.gov/lccn/sn85032933.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn84021913","Arizona silver belt.","Hackney & Morehead","Globe City, Pinal County, Ariz.","Arizona--Gila--Globe|Arizona--Gila--Miami","1878","19??","http://chroniclingamerica.loc.gov/lccn/sn84021913.json"
"sn87062054","The Coconino weekly sun.","C.M. Funston","Flagstaff, Ariz.","Arizona--Coconino--Flagstaff","1891","1896","http://chroniclingamerica.loc.gov/lccn/sn87062054.json"
"sn87062054","The Coconino weekly sun.","C.M. Funston","Flagstaff, Ariz.","Arizona--Coconino--Flagstaff","1891","1896","http://chroniclingamerica.loc.gov/lccn/sn87062054.json"
"sn87062055","The Coconino sun. [microfilm reel]","C.M. Funston","Flagstaff, Ariz.","Arizona--Coconino--Flagstaff","1898","197?","http://chroniclingamerica.loc.gov/lccn/sn87062055.json"
"sn87062055","The Coconino sun. [microfilm reel]","C.M. Funston","Flagstaff, Ariz.","Arizona--Coconino--Flagstaff","1898","197?","http://chroniclingamerica.loc.gov/lccn/sn87062055.json"
"sn94050504","The Weekly orb.","A.W. Howe","Bisbee, Cochise County, Ariz. Territory","Arizona--Cochise--Bisbee","1896","1900","http://chroniclingamerica.loc.gov/lccn/sn94050504.json"
"sn94050504","The Weekly orb.","A.W. Howe","Bisbee, Cochise County, Ariz. Territory","Arizona--Cochise--Bisbee","1896","1900","http://chroniclingamerica.loc.gov/lccn/sn94050504.json"
"sn94050505","The Arizona daily orb.","A.W. Howe","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1898","1900","http://chroniclingamerica.loc.gov/lccn/sn94050505.json"
"sn94050505","The Arizona daily orb.","A.W. Howe","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1898","1900","http://chroniclingamerica.loc.gov/lccn/sn94050505.json"
"sn94050506","Cochise review and Arizona daily orb.","Bisbee News Co.","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1900","1901","http://chroniclingamerica.loc.gov/lccn/sn94050506.json"
"sn94050506","Cochise review and Arizona daily orb.","Bisbee News Co.","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1900","1901","http://chroniclingamerica.loc.gov/lccn/sn94050506.json"
"sn94050513","Cochise review.","Bisbee News Co.","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1900","1901","http://chroniclingamerica.loc.gov/lccn/sn94050513.json"
"sn94050513","Cochise review.","Bisbee News Co.","Bisbee, Ariz.","Arizona--Cochise--Bisbee","1900","1901","http://chroniclingamerica.loc.gov/lccn/sn94050513.json"
"sn94050554","The Flagstaff sun-democrat.","Jones and Jackson","Flagstaff, Ariz.","Arizona--Coconino--Flagstaff","1896","1897","http://chroniclingamerica.loc.gov/lccn/sn94050554.json"
"sn94050554","The Flagstaff sun-democrat.","Jones and Jackson","Flagstaff, Ariz.","Arizona--Coconino--Flagstaff","1896","1897","http://chroniclingamerica.loc.gov/lccn/sn94050554.json"
"sn84021912","The Arizona sentinel. [volume]","C.I. Minor","Arizona City [Yuma], Yuma County, A.T. [Ariz.]","Arizona--Yuma--Arizona City|Arizona--Yuma--Yuma","1872","1911","http://chroniclingamerica.loc.gov/lccn/sn84021912.json"
"sn84021912","The Arizona sentinel. [volume]","C.I. Minor","Arizona City [Yuma], Yuma County, A.T. [Ariz.]","Arizona--Yuma--Arizona City|Arizona--Yuma--Yuma","1872","1911","http://chroniclingamerica.loc.gov/lccn/sn84021912.json"
"sn94051692","The St. Johns herald.","H.Reed","St. Johns, Apache County, Arizona Territory [Ariz.]","Arizona--Apache--Saint Johns","1885","1903","http://chroniclingamerica.loc.gov/lccn/sn94051692.json"
"sn94051692","The St. Johns herald.","H.Reed","St. Johns, Apache County, Arizona Territory [Ariz.]","Arizona--Apache--Saint Johns","1885","1903","http://chroniclingamerica.loc.gov/lccn/sn94051692.json"
"sn95060876","Arizona sentinel and Yuma weekly examiner.","W.H. Shorey","Yuma, Ariz.","Arizona--Yuma--Yuma","1911","1915","http://chroniclingamerica.loc.gov/lccn/sn95060876.json"
"sn95060876","Arizona sentinel and Yuma weekly examiner.","W.H. Shorey","Yuma, Ariz.","Arizona--Yuma--Yuma","1911","1915","http://chroniclingamerica.loc.gov/lccn/sn95060876.json"
